ind,mother,father,generation
296174,296177,296176,1
864338,863343,863342,1
711159,711163,711162,1
861930,861933,861932,1
715601,715604,715603,1
863839,863842,863841,1
294727,294730,294729,1
294945,711715,711714,1
297226,297229,297228,1
298063,716127,716126,1
862020,862023,862022,1
714599,714602,714601,1
863488,863491,863490,1
716516,716519,716518,1
864282,864285,864284,1
863189,863194,863193,1
866697,866700,866699,1
137606,137609,137608,1
288240,288245,288244,1
811565,811568,811567,1
442796,442799,442798,1
217893,217898,217897,1
219949,64025,64024,1
288766,21661,21660,1
220062,220065,220064,1
710886,710889,710888,1
860773,860776,860775,1
711216,711219,711218,1
711183,860871,860870,1
714451,714454,714453,1
714708,714711,714710,1
863410,863413,863412,1
715307,715306,715305,1
715410,715413,715412,1
863984,863987,863986,1
716200,716203,716202,1
716471,716474,716473,1
716573,716576,716575,1
716601,716604,716603,1
864368,864371,864370,1
295136,295139,295138,1
864399,295182,295181,1
865367,865370,865369,1
415970,469347,469348,1
828612,828615,828614,1
416742,416745,416744,1
416397,416400,416399,1
828853,116239,116238,1
130261,130264,130263,1
136970,136973,136972,1
136009,136012,136011,1
137783,137786,137785,1
137766,100149,100148,1
145717,145720,145719,1
144590,144593,144592,1
442683,442686,442685,1
442720,442723,442722,1
442746,442749,442748,1
443326,443329,443328,1
454424,454427,454426,1
218091,218096,218095,1
859067,859070,859069,1
860093,860096,860095,1
710805,710808,710807,1
711226,711229,711228,1
711427,711430,711429,1
716155,716158,716157,1
864212,864215,864214,1
294853,294856,294855,1
296153,296156,296155,1
296360,296363,296362,1
471424,471427,471426,1
415940,415943,415942,1
415582,665099,665098,1
828534,828537,828536,1
828746,127945,127944,1
416285,415963,415962,1
828827,471313,471312,1
828870,17542,17541,1
416287,416290,416289,1
828839,828842,828841,1
128779,128782,128781,1
131262,131265,131264,1
129400,129403,129402,1
130235,130238,130237,1
130697,130700,130699,1
135864,135867,135866,1
134346,134349,134348,1
144798,144801,144800,1
144691,144694,144693,1
442608,442611,442610,1
442638,442641,442640,1
442710,433391,433390,1
442779,442782,442781,1
442537,442540,442539,1
443708,427965,427964,1
453614,106814,106813,1
676513,676516,676515,1
717539,717544,717543,1
717636,717639,717638,1
718569,63150,63149,1
802425,802428,802427,1
868389,868394,868393,1
868574,868579,868578,1
129451,129454,129453,1
288710,288715,288714,1
217922,217925,217924,1
218223,218226,218225,1
863537,863540,863539,1
863553,863556,863555,1
712248,712255,712254,1
715764,715767,715766,1
717393,717396,717395,1
868738,868741,868740,1
828732,828735,828734,1
129021,129024,129023,1
828874,828877,828876,1
130093,130096,130095,1
129344,129347,129346,1
443271,142673,142672,1
717711,717716,717715,1
717616,717619,717618,1
718098,718101,718100,1
860833,860836,860835,1
861313,861316,861315,1
717551,717554,717553,1
828573,828576,828575,1
828588,828591,828590,1
130832,130835,130834,1
132941,132944,132943,1
868829,868832,868831,1
863186,0,0,2
136981,0,0,2
861894,0,0,2
717641,410046,410045,2
295172,423600,423599,2
863194,674029,674028,2
294710,294716,294715,2
295174,409140,409139,2
442564,442572,442571,2
716488,716494,716493,2
295655,295662,295661,2
442586,442602,442601,2
137814,137828,137827,2
296126,296130,296129,2
296177,296183,296182,2
296365,296373,296372,2
297724,297728,297727,2
716490,716496,716495,2
861892,861898,861897,2
861933,861939,861938,2
861866,711805,711804,2
864341,714625,714624,2
294712,294718,294717,2
297229,0,0,2
297726,297732,297731,2
716127,712006,712005,2
714754,714762,714761,2
714721,714725,714724,2
294730,460346,460345,2
296179,296187,296186,2
714752,714758,714757,2
863343,711910,711909,2
294582,859851,859850,2
715359,715362,715361,2
715290,715296,715295,2
866810,715294,715293,2
711163,711170,711169,2
711165,711174,711173,2
714602,95614,95613,2
715413,715417,715416,2
715604,715608,715607,2
715606,715610,715609,2
861935,861943,861942,2
863413,863417,863416,2
863842,827219,827218,2
863844,827221,827220,2
454427,221575,221574,2
130700,130710,130709,2
137609,137621,137620,2
137628,137635,137634,2
145730,145739,145738,2
220065,64387,64386,2
288245,288255,288254,2
288247,461574,461573,2
295141,295149,295148,2
442540,286535,286534,2
442763,442771,442770,2
442793,442795,442794,2
442799,442803,442802,2
442805,442810,442809,2
714604,714606,714605,2
714711,654678,654677,2
716161,716170,716169,2
716474,711715,711714,2
716519,716524,716523,2
716522,861579,861578,2
811568,203485,203484,2
811572,109381,109380,2
860096,860102,860101,2
860776,860782,860781,2
862023,402852,402851,2
862025,862027,862026,2
863197,0,0,2
863491,863497,863496,2
863493,654680,654679,2
863987,709441,709440,2
864285,614869,614868,2
864287,864291,864290,2
864373,864377,864376,2
295182,295186,295185,2
865370,862778,862777,2
866700,711900,711899,2
137786,137798,137797,2
17954,17964,17963,2
130264,207166,207165,2
130268,130280,130279,2
134379,134387,134386,2
136012,136034,136033,2
136040,136045,136044,2
136973,136975,136974,2
100149,100153,100152,2
137769,137776,137775,2
144593,463393,463392,2
806511,806517,806516,2
144801,144813,144812,2
145720,145726,145725,2
217898,85782,85781,2
217900,104624,104623,2
218226,63551,63550,2
64025,64033,64032,2
63806,62850,26671,2
16096,16114,16113,2
21661,21675,21674,2
75256,53887,53886,2
294858,294868,294867,2
295139,295145,295144,2
665099,665103,665102,2
415943,658778,658777,2
469347,652154,652153,2
660468,660474,660473,2
416290,127717,127716,2
416400,416404,416403,2
861211,861217,861216,2
416745,416749,416748,2
416751,416767,416766,2
442629,442633,442632,2
442686,442696,442695,2
442698,753485,753484,2
433391,433395,433394,2
442723,442730,442729,2
442737,442745,442744,2
442749,442755,442754,2
443329,443340,443339,2
443344,443348,443347,2
427965,427970,427969,2
106814,68605,68604,2
454429,454433,454432,2
469361,469363,469362,2
676516,676520,676519,2
710889,710895,710894,2
710892,710900,710899,2
711186,711190,711189,2
711219,711225,711224,2
711221,408196,408195,2
714454,711493,711492,2
802403,802409,802408,2
714713,714717,714716,2
715306,715312,715311,2
259435,259441,259440,2
283201,283214,283213,2
716203,716208,716207,2
459967,459977,459976,2
716476,716482,716481,2
716576,716580,716579,2
716578,863167,863166,2
716604,716610,716609,2
716606,716614,716613,2
63150,63158,63157,2
802430,802436,802435,2
828537,828543,828542,2
828615,116115,116114,2
828619,871133,871132,2
828829,828832,828831,2
828848,828852,828851,2
116239,116245,116244,2
462548,462554,462553,2
220596,851081,851080,2
828893,126335,126334,2
859070,859077,859076,2
860778,860786,860785,2
861318,861325,861324,2
863415,710601,710600,2
863989,863995,863994,2
864371,409311,409310,2
864428,650244,650243,2
294843,294847,294846,2
868396,75926,75925,2
128782,28656,28655,2
129024,129043,129042,2
129347,129356,129355,2
129403,129413,129412,2
129427,129445,129444,2
130238,130252,130251,2
130256,271208,271207,2
130720,468519,468518,2
131265,717629,717628,2
752119,54046,54045,2
132993,133007,133006,2
134349,134363,134362,2
135867,135882,135881,2
135887,135903,135902,2
144694,144704,144703,2
144715,362225,362224,2
144827,144831,144830,2
218096,219805,219804,2
218098,218106,218105,2
288717,288726,288725,2
294856,294863,294862,2
296156,296158,296157,2
862629,862635,862634,2
296363,296369,296368,2
212135,86669,86668,2
415947,280927,280926,2
415963,127439,127438,2
410292,410294,410293,2
416292,17968,17967,2
442542,442550,442549,2
442611,442621,442620,2
442641,442653,442652,2
442662,442670,442669,2
442713,442715,442714,2
442782,442789,442788,2
142673,116015,116014,2
443711,443719,443718,2
68593,68601,68600,2
471427,805840,805839,2
676518,859162,859161,2
710808,710814,710813,2
710810,710818,710817,2
711229,409048,409047,2
711231,141771,141770,2
711430,711436,711435,2
711432,711443,711442,2
712255,711445,711444,2
715767,711493,711492,2
716158,716166,716165,2
717544,276622,276621,2
717546,362032,362031,2
717639,359753,359752,2
717716,53291,53290,2
105243,50264,50263,2
802428,802432,802431,2
828546,828551,828550,2
828735,828737,828736,2
127945,49806,49805,2
828749,610590,610589,2
471313,281591,281590,2
828842,828846,828845,2
17542,17552,17551,2
859072,859081,859080,2
860098,860106,860105,2
863558,863564,863563,2
864215,864221,864220,2
864217,294601,294600,2
868394,868400,868399,2
868579,285627,285626,2
868581,660456,660455,2
130887,130915,130914,2
129052,129069,129068,2
129358,129368,129367,2
129454,129456,129455,2
129465,129487,129486,2
130096,130110,130109,2
130114,130124,130123,2
217925,75477,75476,2
217927,217933,217932,2
218228,112203,112202,2
288715,288721,288720,2
443274,443283,443282,2
712257,712263,712262,2
715769,863546,715773,2
717396,453458,453457,2
